,1,2,3,4,5
aisenson_desarroll,0,2,16,0,9
ajust_c,11,7,2,20,7
ajust_cac,18,49,73,10,8
ajust_p,19,16,4,2,17
alacen_baj,5,6,10,6,9
alarcon_cucicb,46,16,5,4,1
albert_ter,14,5,9,0,0
alejandr_bott,12,7,22,13,1
alici_roj,5,2,4,6,8
almagr_anticip,18,0,0,49,0
almagr_departament,4,5,0,10,6
almagr_excelent,11,6,0,13,11
almagr_tres,18,0,0,49,0
almir_brown,12,2,2,13,0
alpha_emprend,6,1,0,25,0
alquil_temporari,4,5,6,2,11
alta_calid,3,11,6,5,3
alta_veloc,0,0,6,16,3
alto_lumin,5,11,3,5,10
alto_palerm,3,16,23,2,19
alto_vist,4,4,10,3,13
altos_baj,13,3,4,3,5
alumini_anodiz,3,10,3,4,7
alvarez_thom,4,9,4,4,8
amb_balcon,7,7,6,9,6
amb_c,5,11,7,7,8
amb_contrafrent,6,9,5,2,3
amb_dependent,9,6,7,7,9
amb_estren,11,11,8,5,15
amb_frent,28,18,7,15,15
amb_pati,12,2,1,10,0
ambient_1,8,8,8,8,15
ambient_2,34,18,16,21,22
ambient_3,13,13,10,10,8
ambient_almagr,35,17,4,71,30
ambient_ameniti,1,38,37,1,0
ambient_ampli,82,33,42,57,59
ambient_apto,25,19,14,17,18
ambient_balcon,79,54,46,30,73
ambient_balcã,8,18,7,15,15
ambient_barrac,8,2,1,23,4
ambient_barri,12,4,11,11,26
ambient_baã,19,15,3,16,11
ambient_belgran,4,15,18,3,30
ambient_buen,19,9,11,13,12
ambient_c,17,7,14,15,13
ambient_caballit,10,11,11,30,38
ambient_call,13,8,3,3,1
ambient_categori,4,14,37,6,9
ambient_cocher,25,37,53,15,54
ambient_cocin,23,11,28,15,18
ambient_contrafrent,52,34,23,67,55
ambient_cuent,10,5,2,2,8
ambient_dependent,104,53,56,98,88
ambient_diseã,0,0,31,1,0
ambient_divis,18,18,26,19,34
ambient_dos,13,7,7,11,9
ambient_duplex,13,6,8,9,10
ambient_edifici,11,22,19,5,17
ambient_escritori,9,2,2,10,4
ambient_estren,29,57,46,19,113
ambient_excelent,26,24,17,8,24
ambient_extern,13,6,7,2,7
ambient_flor,17,9,1,22,10
ambient_frent,129,89,67,90,120
ambient_gran,7,6,10,2,6
ambient_intern,8,3,2,8,4
ambient_lateral,10,8,1,18,9
ambient_living,17,22,6,18,17
ambient_lumin,50,29,34,18,25
ambient_mas,24,6,11,26,10
ambient_matader,7,3,0,18,8
ambient_medi,15,21,14,13,8
ambient_nuev,17,6,3,0,2
ambient_nuã,7,4,5,2,18
ambient_once,9,0,0,14,3
