,1,2,3,4,5
diseã_sum,5,15,0,1,22
dispon_unidad,4,14,0,1,18
divis_balcon,6,7,3,3,6
divis_estren,11,16,6,11,16
dobl_altur,25,19,18,30,19
dobl_circulacion,28,28,17,22,21
dobl_entrad,25,11,7,22,18
dobl_frent,7,6,12,5,8
dobl_vidri,8,4,12,3,4
don_holmberg,19,18,4,0,6
dormitori_1,47,24,19,18,17
dormitori_2,32,13,23,37,31
dormitori_3,31,13,12,24,14
dormitori_ampli,38,14,20,20,19
dormitori_apto,11,74,159,3,0
dormitori_balcon,4,4,3,5,9
dormitori_baã,57,33,29,56,57
dormitori_buen,9,7,3,5,6
dormitori_c,15,8,3,7,11
dormitori_cocher,6,5,65,2,6
dormitori_cocheraexcelent,3,3,37,8,0
dormitori_cocin,37,24,9,42,26
dormitori_dependent,11,11,23,18,21
dormitori_dos,5,8,11,9,6
dormitori_escritori,18,7,3,10,8
dormitori_frent,9,11,8,13,11
dormitori_gran,13,3,8,7,10
dormitori_living,28,7,5,14,13
dormitori_lumin,11,4,12,3,2
dormitori_mas,10,5,7,5,8
dormitori_pis,30,23,10,20,15
dormitori_plac,19,6,3,6,2
dormitori_placar,18,8,8,8,23
dormitori_placard,148,70,46,108,133
dormitori_principal,47,26,53,61,66
dormitori_suit,35,35,125,55,104
dormitori_vestidor,7,8,5,6,4
dos_ambient,79,78,89,47,62
dos_ampli,14,9,2,11,7
dos_aut,10,2,5,9,1
dos_av,8,2,6,5,7
dos_balcon,7,10,5,7,6
dos_baã,17,14,19,20,19
dos_cuadr,48,33,54,41,43
dos_dormitori,119,48,62,70,105
dos_habit,10,2,4,5,3
dos_pati,6,7,3,9,1
dos_plant,57,16,14,51,27
dos_unidad,8,2,1,13,1
dpto_2,5,6,8,5,8
dpto_3,11,4,6,6,5
dueã_vend,4,3,3,15,0
duplex_2,2,11,7,6,3
duplex_3,21,3,5,13,13
duplex_estren,6,4,6,2,7
edifici_13,0,3,17,0,9
edifici_2,7,3,4,6,8
edifici_6,1,7,6,9,3
edifici_7,4,6,4,6,7
edifici_8,7,5,7,3,11
edifici_9,4,4,9,6,8
edifici_ameniti,8,27,20,10,20
edifici_antigu,14,8,9,14,9
edifici_apto,6,10,14,0,24
edifici_buen,10,6,7,6,11
edifici_categori,22,49,74,11,61
edifici_cocher,2,8,1,2,13
edifici_construccion,5,7,3,1,12
edifici_construirãƒâ,9,13,4,0,17
edifici_cuent,12,36,44,18,44
edifici_diseã,2,2,22,0,15
edifici_encuentr,20,8,5,3,4
edifici_esquin,5,11,6,6,11
edifici_estil,18,7,9,11,14
edifici_estren,26,20,22,6,39
edifici_excelent,5,5,10,1,4
edifici_gran,1,4,18,4,11
edifici_modern,11,10,5,12,17
edifici_nuev,5,10,8,4,14
edifici_piscin,2,9,10,1,16
edifici_plant,5,5,1,6,12
edifici_sum,2,5,6,0,13
edifici_torr,22,15,29,12,23
edifici_ubic,10,15,8,14,15
efeg_propiedad,5,4,0,20,10
eficient_garay,5,15,0,1,22
elã_ctric,31,37,50,21,40
emblemat_edifici,0,4,17,1,11
emplaz_av,13,4,8,3,9
emprend_12,0,38,37,0,0
emprend_cuy,18,0,0,49,0
emprend_desarroll,8,14,0,16,22
emprend_premium,0,6,37,0,0
emprend_srl,6,1,0,25,0
encuentr_ubic,26,11,13,8,10
entrad_ampli,5,8,5,5,23
entrad_aut,8,0,2,13,3
entrad_independient,81,17,10,96,10
entrad_living,30,5,10,39,20
entrad_principal,24,16,15,20,10
entrad_servici,22,8,11,12,16
entrad_toilett,0,2,13,17,3
entreg_aproxim,3,12,3,6,3
entreg_diciembr,8,11,4,12,4
entreg_estim,12,19,5,2,15
entreg_inmediat,19,16,10,2,15
entreg_marz,10,12,3,2,5
equip_air,1,6,11,4,10
equip_baã,15,6,0,11,2
equip_muebl,4,5,10,2,10
espaci_guard,4,4,9,2,7
espaci_guardacoch,14,8,15,2,16
espaci_lavarrop,20,16,7,2,13
espaci_verd,6,20,7,4,8
espectacul_departament,7,2,22,2,16
espin_propiedad,11,1,6,17,4
estacion_malabi,6,8,7,0,6
estacion_subt,17,18,11,9,10
estacion_tren,14,4,8,3,5
estaciã_n,16,7,1,3,3
estil_francã,10,7,4,1,14
estratã_gic,11,12,21,8,5
estren_1,8,7,8,2,7
estren_2,8,19,19,5,18
estren_3,4,3,11,10,8
estren_apto,34,34,21,4,22
estren_balcon,13,13,9,4,12
estren_cocher,6,11,7,0,13
estren_contrafrent,3,8,3,1,16
estren_edifici,4,14,5,0,33
estren_entreg,5,7,9,1,12
estren_excelent,11,12,8,5,13
estren_frent,6,19,14,2,13
estren_lumin,6,9,6,2,5
estren_pis,3,1,12,10,12
estren_posesion,6,16,4,3,11
estren_ubic,5,9,15,1,9
estren_vent,2,5,8,0,14
estudi_aisenson,0,3,26,0,10
estudi_inmobiliari,14,3,6,9,25
estudi_profesional,4,6,9,3,13
estuf_tir,8,7,2,9,2
excelent_2,8,19,32,3,24
excelent_3,10,3,12,10,21
excelent_4,9,6,4,5,9
excelent_acces,9,4,8,10,5
excelent_calid,21,8,26,15,12
excelent_cas,36,3,7,45,7
excelent_condicion,13,10,1,3,6
excelent_departament,110,93,109,89,195
excelent_dept,13,12,12,11,13
excelent_detall,13,5,10,10,5
excelent_distribucion,9,7,11,5,4
excelent_duplex,4,7,5,10,17
excelent_edifici,10,19,15,7,27
excelent_emprend,2,8,2,4,15
excelent_local,9,7,24,35,18
excelent_lumin,16,9,5,12,13
excelent_monoambient,15,44,44,9,53
excelent_oportun,17,9,6,16,14
excelent_ph,37,9,1,66,14
excelent_pis,24,21,27,24,30
excelent_propied,8,1,2,9,6
excelent_semipis,14,21,21,10,31
excelent_termin,8,7,24,4,22
excelent_ubicacion,136,118,100,95,178
excelent_ubicaciã,31,23,6,23,20
excelent_unid,9,5,7,11,30
excelent_vist,17,17,42,17,31
excelent_zon,27,35,35,12,35
exit_trayectori,0,2,16,0,9
expens_1,6,11,3,6,3
expens_apto,7,4,7,6,4
expens_excelent,10,4,7,4,9
extern_lumin,1,8,5,3,8
ez_1,1,2,38,0,0
fabian_boujon,29,14,12,0,1
facil_acces,22,5,6,7,6
falcon_6025,7,0,1,0,19
favier_rey,11,9,5,0,0
febrer_2016,4,35,38,1,6
fech_d,18,0,0,49,0
feder_delg,28,14,11,0,0
federal_barrac,0,22,9,0,0
federal_barri,5,19,21,9,10
federal_belgran,0,18,105,4,0
federal_caballit,1,12,60,0,3
federal_flor,3,2,42,3,0
federal_nuã,1,11,68,1,0
federal_palerm,4,12,55,5,3
federal_puert,0,0,11,15,2
federal_recolet,0,3,16,12,1
federal_saavedr,5,11,9,0,0
federal_san,7,35,44,1,0
federal_vill,23,93,142,22,3
fern_comesaã,14,14,4,0,1
fideicomis_cost,14,7,5,7,14
fij_bauler,3,11,10,7,10
fij_cubiert,20,19,28,13,50
flavi_aguirr,15,12,10,0,0
flor_departament,8,3,0,7,6
flor_nort,9,2,0,9,18
fond_4,0,6,36,0,0
form_pag,14,26,16,26,30
francã_s,25,29,17,10,42
frent_2,22,12,11,10,12
frent_3,10,7,4,9,9
frent_42m,0,6,36,0,0
frent_ampli,15,15,9,16,17
frent_apto,3,11,10,2,5
frent_balcon,93,93,66,70,81
frent_balcã,14,17,12,14,27
frent_baã,4,7,3,4,9
frent_buen,8,8,7,10,15
frent_call,7,5,6,5,7
frent_cocher,10,10,16,2,12
frent_cocin,20,22,14,8,18
frent_contrafrent,19,14,8,19,22
frent_cuent,5,3,2,8,7
frent_dormitori,4,3,10,4,5
frent_dos,10,8,2,5,6
frent_edifici,16,10,10,6,14
frent_entrad,26,6,3,18,6
frent_estren,4,9,4,9,4
frent_excelent,10,11,15,5,17
frent_living,23,11,6,4,13
frent_lumin,34,39,31,22,41
frent_mas,0,2,29,3,0
frent_pati,9,6,3,13,6
frent_pis,17,10,7,15,5
frent_placard,5,4,10,9,3
frent_plant,7,3,5,10,2
frent_plaz,18,4,12,13,15
frent_sal,3,6,4,4,9
frent_sup,10,9,7,13,10
frent_tip,5,10,1,6,5
frent_vist,13,10,13,10,12
fri_calor,33,35,31,15,34
funcional_eficient,5,15,0,1,22
garay_612,5,15,0,1,21
garci_4040contact,36,17,19,3,2
gener_med,10,4,2,3,6
gg_brokers,9,1,3,5,11
gral_paz,10,18,2,15,16
gran_ambient,8,2,8,2,6
gran_balcon,13,20,15,9,27
gran_calid,3,5,18,5,7
gran_cantid,6,6,6,5,4
gran_categori,6,6,29,8,14
gran_cocin,17,4,9,18,13
gran_living,45,39,48,48,63
gran_livingcomedor,8,2,2,9,9
gran_nivel,8,5,1,0,12
gran_pati,10,1,4,26,4
gran_placard,12,3,3,8,6
gran_recepcion,2,3,11,8,16
gran_terraz,10,3,5,12,6
gran_ventanal,9,6,4,4,3
grup_electrogen,3,6,8,3,5
grup_meg,20,14,4,13,5
guastell_869contact,83,82,68,3,1
guendl_811contact,20,9,7,6,0
gustav_guastell,83,82,68,3,1
gustav_simon,9,9,9,0,1
habitacion_servici,14,4,3,9,5
hall_acces,8,6,4,6,9
hall_distribucion,26,11,7,17,8
hall_entrad,70,47,60,102,92
hall_living,5,3,6,6,8
hall_recepcion,32,14,13,23,8
hech_nuev,16,6,11,10,14
hector_merl,38,21,20,6,6
hermos_cas,5,0,2,15,3
hermos_departament,33,34,22,30,59
hermos_dept,11,3,7,5,3
hermos_monoambient,6,6,4,1,11
hermos_ph,11,2,5,22,2
hermos_vist,6,2,9,4,17
hern_perron,105,49,11,18,2
hij_inmob,12,0,1,14,2
horn_anaf,4,3,12,4,8
horn_elã,10,9,30,4,21
i_5527contact,18,15,15,4,0
ideal_inversion,12,8,8,3,10
ideal_inversor,24,16,24,12,20
ideal_rent,5,4,6,2,14
impec_departament,9,9,12,12,19
incorpor_adem,4,12,0,1,20
incorpor_baã,24,21,3,5,16
increibl_vist,2,2,15,4,5
independient_baã,18,15,5,9,16
independient_lavader,13,7,6,5,7
indic_cac,3,35,42,0,0
inform_constructor,19,8,3,0,0
ingres_hall,7,7,6,3,2
ingres_living,16,5,0,9,2
inmejor_ubicacion,15,18,22,24,25
inmejor_zon,3,11,6,7,8
inmob_trav,12,0,1,14,2
inmobiliari_preci,108,47,58,130,104
inmobiliari_s,19,8,1,39,11
integr_barr,9,18,15,6,19
integr_baã,22,20,16,4,28
integr_dormitori,8,9,6,4,11
integr_equip,6,10,7,3,4
integr_estudi,0,2,16,0,9
integr_living,9,9,11,7,16
integr_muebl,4,19,7,6,15
integr_toilett,8,13,4,15,5
interior_placard,1,2,10,5,8
inversiã_n,8,3,8,4,4
j_b,7,6,0,14,7
jacuzzi_solarium,5,20,1,3,7
jannot_prop,0,3,9,10,9
jardã_n,10,7,2,10,9
jorg_favier,11,9,5,0,0
jorg_salafi,44,43,22,6,0
jos_guendl,20,9,7,6,0
juan_b,45,21,10,36,30
juan_carl,27,20,10,5,1
juli_albert,14,5,9,0,0
juni_2016,8,9,6,1,0
laket_propiedad,3,2,10,5,9
lateral_lumin,12,12,2,9,6
laundry_solarium,10,6,4,13,9
laundry_sum,1,31,16,6,15
laur_avellaned,5,15,5,2,0
lavader_balcon,10,7,5,4,7
lavader_baã,15,7,9,6,9
lavader_cubiert,10,3,1,5,6
lavader_dependent,11,13,11,12,13
lavader_incorpor,42,37,17,34,55
lavader_independient,94,54,27,68,88
lavader_living,13,5,4,5,2
lavader_pati,14,1,1,12,4
lavader_separ,18,5,8,11,13
lin_colect,61,25,32,90,37
lind_departament,7,14,7,3,13
line_b,21,21,10,9,22
line_d,7,14,35,4,16
line_diferent,18,0,0,49,0
line_subt,9,5,3,4,4
living_3,8,1,1,12,3
living_ampli,17,5,6,14,5
living_baã,8,3,3,5,8
living_cocin,39,11,13,11,19
living_com,11,6,4,8,5
living_comedor,684,395,415,594,577
living_dormitori,11,5,7,12,15
living_pis,8,13,2,2,5
living_sal,10,3,9,14,20
livingcomedor_2,8,2,4,9,5
livingcomedor_cocin,20,12,6,11,18
livingcomedor_pis,5,5,7,6,6
llen_luz,3,1,10,2,9
local_call,10,1,7,12,7
local_capital,5,8,4,8,8
local_comercial,7,15,15,26,24
local_esquin,5,2,6,7,4
local_ubic,1,9,4,6,7
local_vent,7,1,4,11,10
localiz_barri,0,22,11,0,0
localvent_local,10,6,15,27,24
los_radiant,12,11,12,5,21
lot_8,13,3,4,32,4
lot_propi,53,8,13,75,9
lot_tripl,0,0,29,1,0
loung_propiedad,8,5,4,10,5
luc_feder,28,14,11,0,0
ludigliani_desarroll,4,1,1,12,10
luis_rom,36,17,19,3,2
luis_varel,38,27,35,8,3
lumin_2,9,4,11,12,10
lumin_3,9,4,6,2,6
lumin_air,16,6,5,11,3
lumin_ambient,20,11,11,17,19
lumin_ampli,23,18,17,24,13
lumin_apto,4,7,4,2,8
lumin_balcon,26,21,19,14,22
lumin_baã,6,5,19,5,12
lumin_buen,32,24,21,19,40
lumin_cocher,3,7,10,5,17
lumin_cocin,19,30,23,9,36
lumin_contrafrent,4,11,4,2,6
lumin_cuent,11,2,5,7,7
lumin_departament,11,6,7,4,13
lumin_dormitori,8,2,5,2,9
lumin_dos,6,6,8,1,4
lumin_edifici,15,12,11,17,14
lumin_estren,4,3,11,0,7
lumin_excelent,43,33,20,17,28
lumin_frent,12,25,20,4,11
lumin_living,25,25,17,20,33
lumin_orientacion,4,8,6,7,10
lumin_pis,30,35,35,14,23
lumin_silenci,6,15,7,10,10
lumin_sol,5,4,7,5,4
lumin_ubic,15,4,3,5,8
lumin_ventil,29,8,1,8,8
lumin_vist,14,11,27,15,14
luz_edifici,3,8,2,0,12
luz_natural,8,8,17,7,9
luz_sol,28,19,37,14,39
m2_aprox,10,2,3,10,4
m2_balcon,25,15,13,9,7
m2_cocher,5,8,2,1,11
m2_cocin,13,10,3,3,12
m2_consign,10,7,3,24,17
m2_constru,1,2,16,0,9
m2_cub,10,7,2,8,1
m2_cubiert,69,26,20,56,32
m2_descubiert,7,8,3,8,9
m2_excelent,8,7,4,4,7
m2_frent,6,11,5,8,4
m2_impec,5,5,2,7,6
m2_living,3,5,7,2,8
m2_propi,5,2,6,1,11
m2_proporcion,13,7,1,6,4
m2_superfici,3,7,7,6,5
m2_total,64,44,24,41,45
m2_vent,3,8,1,8,6
m_c,19,15,15,5,0
m_sodor,45,18,6,5,0
macagn_cucicb,31,15,1,5,0
mader_flotant,1,13,4,2,9
management_arupac,0,2,16,0,9
mankul_bien,5,0,4,8,13
mari_cristin,27,22,16,1,2
mari_natal,22,8,7,6,0
marian_aufseh,55,37,20,2,1
martin_macagn,31,15,1,5,0
marvisi_cucicb,34,18,9,2,2
marz_2016,33,9,9,18,10
mas_26,0,0,29,1,0
mas_30,0,2,16,0,9
mas_dependent,10,5,13,11,12
mat_1053,0,1,34,3,0
mat_5404,4,72,77,3,0
maur_marvisi,34,18,9,2,2
mb_inmobiliari,18,7,1,35,11
med_superfici,29,24,10,39,27
medi_cuadr,32,24,14,29,21
medi_transport,65,36,28,55,45
mejor_ubicacion,8,2,13,0,5
mejor_zon,20,32,67,17,33
mensaj_text,3,5,17,0,0
merl_cucicb,38,21,20,6,6
mes_alacen,19,18,22,10,15
mes_cocin,9,0,12,0,4
mes_granit,7,15,11,5,18
mes_pes,17,1,2,23,1
metr_av,62,45,70,59,68
metr_aven,17,7,12,10,8
metr_cuadr,10,5,4,6,8
metr_cubiert,8,6,3,6,10
metr_estacion,12,8,7,4,2
metr_parqu,12,13,2,10,15
metr_plaz,7,8,10,9,6
metr_subt,11,10,8,6,10
metr_total,15,9,2,2,8
mil_m2,0,2,16,0,9
mism_cuent,16,5,13,7,33
mls_id,1225,767,565,155,41
modern_diseã,9,7,6,1,6
modern_edifici,8,9,5,2,12
moment_pag,3,23,28,0,0
mon_ambient,4,7,23,5,16
monoambient_2,5,49,38,3,7
monoambient_ampli,2,27,1,4,8
monoambient_balcon,5,14,7,7,9
monoambient_contrafrent,7,9,4,1,12
monoambient_divis,42,42,14,20,41
monoambient_edifici,5,7,3,0,12
monoambient_estren,25,38,44,11,55
monoambient_frent,8,15,14,5,22
monoambient_san,1,10,5,4,8
monoambient_vent,8,9,1,17,13
mts_av,11,12,22,18,16
mts_cubiert,13,4,5,10,7
mts_present,0,0,28,1,0
mts_total,14,8,12,13,10
much_luz,19,17,13,10,15
muebl_altos,13,3,3,1,5
muebl_baj,39,35,30,20,21
muebl_cocin,16,14,26,8,13
muebl_complet,22,19,9,28,21
multifamili_localiz,0,22,11,0,0
n_2,10,4,1,14,3
n_cocher,10,3,3,2,7
n_cocin,6,4,8,12,3
n_corr,9,15,8,11,15
n_excelent,9,19,11,13,16
n_frent,6,11,7,5,6
n_terraz,14,8,11,14,7
nahuel_huapi,18,5,0,1,0
natal_cucicb,22,8,7,6,0
necesit_compr,11,10,2,9,6
negoci_inmobiliari,46,21,26,48,44
nuev_barri,8,14,5,0,0
nuev_cocin,9,5,7,6,7
nuev_edifici,13,6,9,2,4
nuev_emprend,7,13,6,20,8
nuev_excelent,10,6,6,2,3
nuev_hac,1,2,6,9,8
nuev_propiedad,2,5,5,4,9
numer_lin,11,6,8,20,10
numer_medi,11,3,1,4,6
nuã_ez,17,40,95,23,59
nã_â,9,11,4,0,17
opcional_cocher,1,9,20,4,10
opcional_u,2,2,30,2,5
operacion_vent,12,9,4,10,9
orientacion_nort,17,4,9,11,15
p_b,13,6,7,14,2
p_cac,19,9,2,1,7
p_h,25,0,1,16,3
p_s,19,15,15,4,0
pabl_cang,21,19,3,0,0
pag_100,2,3,21,0,1
pag_35,4,35,3,0,7
pag_40,8,39,46,19,6
pag_45,3,23,42,0,0
pag_50,0,4,20,0,5
pag_anticip,0,3,52,12,2
palerm_2,3,4,19,1,4
palerm_departament,2,6,8,11,10
palerm_excelent,3,4,10,0,23
palerm_hollywood,11,24,55,10,44
palerm_nuev,0,1,14,3,6
palerm_preci,6,6,7,3,6
palerm_soh,3,18,35,5,29
pali_priv,30,46,81,49,74
pali_semi,0,2,10,1,13
pali_semipriv,4,4,15,7,12
palmer_emprend,0,6,36,0,0
pamel_suarez,18,19,12,0,0
parqu_centenari,13,26,13,22,12
parqu_chacabuc,35,9,4,44,22
parqu_don,17,15,3,0,5
parqu_lezam,11,3,0,10,6
parqu_patrici,23,13,3,31,7
parqu_saavedr,6,5,7,4,5
parquet_ampli,10,4,2,5,25
parquet_balcon,5,2,4,7,8
parquet_baã,7,3,2,10,3
parquet_cocin,11,12,5,7,9
parquet_dormitori,7,6,3,8,6
parrill_cocher,5,10,7,6,12
parrill_cocin,9,2,3,7,11
parrill_jacuzzi,4,6,11,1,11
parrill_laundry,8,9,8,6,16
parrill_propi,7,4,7,16,14
parrill_solarium,6,5,6,9,13
parrill_terraz,9,12,15,8,6
part_pag,5,3,5,10,6
pas_av,4,7,11,3,7
pas_aven,2,3,2,8,10
pasill_distribucion,7,4,2,5,8
pati_balcon,9,9,3,10,1
pati_cocin,3,5,0,18,2
pati_cubiert,33,5,1,28,8
pati_intern,7,5,12,11,3
pati_lavader,19,4,0,16,11
pati_parrill,30,6,2,41,9
pati_plant,10,1,2,9,4
pati_propi,13,6,6,6,6
pati_terraz,47,6,6,73,1
patrici_m,45,18,6,5,0
patrici_vent,9,2,0,14,4
pb_living,12,3,2,14,4
pedr_goyen,3,4,10,10,17
perez_compel,6,5,2,5,23
perron_2792contact,105,49,11,18,2
pes_ajust,38,65,46,2,29
pes_bolet,20,5,0,0,0
pes_sald,25,9,1,0,0
pes_ubic,18,0,0,49,0
ph_2,32,10,7,35,14
ph_3,49,17,6,59,15
ph_4,35,2,1,29,4
ph_entrad,7,2,3,11,1
ph_estren,5,6,3,15,3
ph_frent,23,3,2,23,6
ph_plant,10,3,4,13,4
ph_prim,10,2,0,13,1
ph_recicl,10,4,1,10,3
ph_tip,15,1,0,6,3
ph_vent,6,0,1,33,3
pilet_parrill,1,6,8,3,7
pilet_solarium,11,8,19,18,19
pint_cucicb,17,7,7,2,0
pis_1,11,11,41,9,4
pis_11,8,2,18,1,2
pis_13,5,3,13,1,10
pis_2,24,21,18,21,20
pis_3,26,23,18,12,28
pis_4,25,31,15,29,30
pis_5,14,13,4,5,6
pis_8,8,8,5,3,4
pis_alto,32,43,61,36,61
pis_ameniti,1,23,13,0,6
pis_apto,1,7,4,1,12
pis_ascensor,7,5,5,10,8
pis_balcon,10,9,6,7,9
pis_categori,0,4,10,8,10
pis_ceram,48,29,8,48,13
pis_cont,6,4,0,10,6
pis_contrafrent,30,17,17,20,25
pis_departament,16,48,83,2,12
pis_dos,10,11,7,4,4
pis_edifici,11,4,12,6,6
pis_escaler,151,28,16,86,34
pis_flotant,37,39,30,27,48
pis_frent,76,54,39,52,37
pis_living,14,5,3,10,9
pis_lumin,12,3,4,3,6
pis_mader,28,45,68,29,68
pis_marmol,8,2,5,8,3
pis_parquet,137,96,66,89,120
pis_pinote,38,11,4,35,4
pis_pis,11,9,6,1,1
pis_porcelanat,56,48,26,20,43
pis_porcellanat,10,8,17,13,18
pis_radiant,2,3,8,7,6
pis_robl,10,9,7,4,9
pis_tech,2,14,14,4,15
pis_unidad,19,3,0,3,1
piscin_climatiz,3,10,8,6,16
piscin_jacuzzi,3,12,2,3,7
piscin_parrill,2,4,13,4,10
piscin_solarium,13,28,34,5,29
piscin_sum,3,6,11,1,15
placard_2,13,5,0,3,7
placard_balcon,9,4,5,3,5
placard_baã,47,27,23,34,45
placard_cocin,32,23,9,28,42
placard_empotr,7,9,6,5,6
placard_interior,9,9,4,5,15
placard_pis,34,10,16,15,15
placard_recepcion,4,0,8,10,4
plant_alta,55,11,11,49,16
plant_baj,264,122,145,249,113
plant_living,10,6,3,26,2
plant_lot,11,2,1,7,6
plant_plant,20,3,4,10,2
plant_prim,8,1,0,17,1
plat_5,18,0,0,49,0
plen_barri,9,15,15,4,9
plen_corazon,7,9,14,1,10
plen_palerm,2,4,16,1,7
poc_cuadr,23,27,26,13,33
poc_metr,5,7,9,4,14
ponti_3570contact,13,8,10,8,1
porcelanat_cocin,8,9,4,2,6
porter_visor,10,10,9,3,21
posesion_cocher,0,5,42,0,0
posesion_inform,19,8,3,0,0
posesion_inmediat,11,26,12,5,17
posesion_marz,5,1,2,18,3
posesion_sald,1,21,3,0,7
posesiã_n,6,8,11,0,7
poz_ampli,3,9,0,0,16
poz_departament,12,2,0,23,4
poz_ph,6,0,0,20,1
preci_ars,38,25,4,74,18
preci_usd,438,224,234,484,457
preferencial_buen,0,1,35,0,0
premium_24,0,6,36,0,0
premium_cocher,0,38,39,0,1
present_diseã,5,15,0,1,22
present_unidad,0,0,28,1,0
prim_nivel,2,2,25,7,4
prim_pis,125,39,25,96,36
prim_plant,11,2,4,18,5
primer_calid,7,18,21,11,15
primer_present,5,15,1,1,22
principal_placard,12,4,0,13,5
principal_servici,12,14,12,13,7
principal_suit,19,16,50,17,47
priv_ampli,1,3,15,5,15
priv_hall,4,8,7,3,12
priv_living,5,4,10,5,12
privilegi_barri,2,4,17,0,9
profesional_ameniti,5,7,6,17,12
profesional_ampli,3,8,2,1,13
profesional_baj,11,3,13,0,9
profesional_edifici,9,18,4,3,12
profesional_entreg,10,24,6,0,14
profesional_estren,5,15,9,2,7
profesional_excelent,6,4,6,8,11
profesional_lumin,2,8,6,4,13
profesionaldepartamentosform_pag,3,33,36,0,0
profesionalform_pag,3,37,73,0,0
profesionalgr_emprend,0,37,37,0,0
profesionall_palmer,0,6,34,0,0
profesionalmy_soh,0,0,34,0,0
profesionalproyect_viviend,0,22,9,0,0
propi_8,15,2,6,23,2
propi_parrill,9,3,5,10,4
propied_cuent,18,4,4,3,3
propied_departament,8,13,3,7,8
propiedad_preci,230,132,109,280,244
propietari_necesit,11,10,2,9,6
proporcion_consign,12,5,1,6,4
proxim_av,8,5,3,10,4
proxim_subt,7,1,2,12,10
public_adrian,12,1,6,17,4
public_alici,5,3,4,6,8
public_alpha,6,1,0,25,0
public_belfort,11,9,19,11,16
public_carl,12,1,2,15,2
public_castr,5,1,0,7,18
public_dep,17,3,8,9,9
public_devot,2,2,16,1,6
public_estudi,7,4,2,9,9
public_gg,9,1,3,5,12
public_grup,7,10,1,15,7
public_laket,3,2,10,5,9
public_ludigliani,4,1,1,12,10
public_mb,18,8,1,35,11
public_osvald,1,2,3,11,8
public_perez,6,5,2,5,23
public_querci,8,0,0,20,4
public_rafael,7,0,1,1,20
public_salguer,2,8,7,5,27
public_torr,17,7,3,10,16
public_travã,69,50,32,56,75
public_visualgestion,32,12,5,3,1
public_waim,7,19,7,6,19
public_zarleng,10,6,13,1,24
pued_comunic,5,7,17,0,1
pued_ser,7,3,2,13,5
puert_blind,20,18,11,13,22
puert_mader,11,1,59,56,23
puert_pamp,14,0,0,12,3
pulmon_manzan,14,27,17,9,17
querci_propiedad,8,0,0,20,4
quinch_parrill,17,3,12,13,9
r_stern,21,14,3,0,0
rafael_adri,7,0,1,1,20
raic_preci,21,3,0,15,7
raic_srl,48,30,18,5,0
ramon_falcon,13,3,13,4,21
raul_hector,38,21,20,6,6
real_estat,2,5,4,7,12
rebec_stern,110,88,33,6,3
recepcion_ampli,10,1,8,12,7
recepcion_cocin,10,7,16,13,15
recepcion_living,17,9,17,7,27
recepciã_n,5,6,8,11,4
recepciãƒâ³n_living,0,0,9,15,2
recicl_hac,15,9,8,12,13
recicl_nuev,51,35,42,50,42
reciã_n,6,4,6,3,5
refaccion_nuev,7,1,3,18,4
refuerz_4,3,33,36,0,0
refuerz_ser,3,33,36,0,0
reiss_propiedad,5,1,0,7,18
residenc_desarroll,0,0,29,1,0
residencial_edifici,5,7,0,0,18
respons_r,21,14,3,0,0
revest_ceram,4,8,5,9,19
rey_mls,11,9,5,0,0
ricard_demichelli,10,9,2,4,0
rio_ciud,0,1,10,2,12
rivadavi_subt,7,3,0,10,7
roj_negoci,5,2,4,6,8
rom_garci,36,17,19,3,2
rosari_pint,17,7,7,2,0
s_2,4,30,1,1,2
s_23,0,4,48,0,0
s_25,4,33,26,4,2
s_28,3,4,33,25,4
s_30,2,3,30,2,2
s_i,21,16,15,4,0
s_mapaprop,56,40,30,48,64
s_preci,19,11,2,35,11
s_u,6,4,7,4,8
sal_balcon,67,83,97,59,134
sal_pati,22,13,7,32,13
salafi_cucicb,44,43,22,6,0
sald_24,24,13,10,16,7
sald_cuot,19,10,53,1,0
salguer_propiedad,2,8,7,5,27
salon_usos,6,17,17,4,18
san_cristobal,27,22,38,19,26
san_juan,53,31,15,37,21
san_martin,21,23,18,21,27
san_nicol,7,5,2,8,3
san_telm,32,47,45,23,26
sanfilipp_estudi,7,0,1,1,20
sant_fe,11,28,62,10,59
santiag_jannot,0,3,9,10,9
saun_jacuzzi,1,18,9,6,8
scalabrini_ortiz,6,14,9,12,29
segund_dormitori,6,8,6,15,2
segund_pis,38,16,15,51,20
segund_plant,3,1,3,13,5
segur_24,5,12,36,11,19
segur_24hs,5,3,10,4,15
semi_integr,12,22,9,5,8
semi_pis,5,6,5,6,11
semi_priv,0,2,11,0,14
semipis_2,6,20,17,10,21
semipis_3,16,24,20,14,40
semipis_4,12,13,11,9,16
semipis_frent,26,13,16,16,23
separ_baã,10,4,11,6,4
separ_lavader,11,2,3,4,6
ser_actualiz,3,33,36,0,0
servici_baã,18,12,8,14,24
servici_central,4,5,6,4,9
servici_cocher,8,2,8,4,12
servici_comun,2,6,3,6,18
servici_individual,23,21,11,22,20
servici_inmobiliari,11,7,6,20,6
servici_lavader,7,5,3,3,7
seã_orial,14,3,2,12,4
shopping_dot,4,5,0,5,13
si_pued,5,7,17,0,0
simon_mls,9,9,9,0,1
sodor_5414contact,45,18,6,5,0
soh_torr,0,0,34,0,0
sol_2,7,3,6,8,5
sol_balcon,3,9,3,3,10
